Questions,Answers
Why does a spinning wheel resist changes to its motion?,"A spinning wheel resists changes to its motion due to angular momentum, which keeps the wheel stable and maintains its direction of rotation."
How do gears increase torque in a machine?,Gears increase torque by transferring rotational force through different-sized wheels. A larger gear reduces speed but amplifies torque to perform tasks requiring higher force.
Why does increasing the angle of a slope increase the effort required to move an object?,A steeper slope requires more force to overcome gravity because the component of weight acting parallel to the slope increases with the angle.
How does heat transfer by conduction occur?,"Heat transfer by conduction occurs when faster-moving molecules collide with slower ones, transferring energy directly through a material without any movement of the material itself."
Why do satellites stay in orbit around Earth?,"Satellites stay in orbit due to the balance between their forward velocity and the gravitational pull of Earth, which keeps them in a curved path around the planet."
Why does a ball thrown upwards slow down before falling back?,"The ball slows down due to gravity, which opposes its upward motion. As it rises, gravity reduces its velocity until it stops momentarily before falling back."
How does the temperature of a gas affect its pressure?,"The pressure of a gas increases with temperature because higher temperatures cause gas molecules to move faster, colliding with container walls more frequently and forcefully."
Why do lighter objects float on water?,"Lighter objects float if their density is less than that of water. Buoyant force exceeds their weight, allowing them to remain on the surface."
Why does the speed of sound increase in solids compared to gases?,"Sound travels faster in solids because the molecules in solids are closely packed, allowing vibrations to transfer energy more quickly than in gases, where molecules are far apart."
Why does a pendulum eventually stop moving?,"A pendulum stops due to energy losses from air resistance and friction at the pivot, which convert its mechanical energy into heat over time."
How does increasing the length of a lever reduce the force needed to lift a load?,"A longer lever increases the distance over which force is applied, creating greater torque and reducing the effort required to lift a load."
Why does a dam’s wall get thicker toward the base?,"The pressure of water increases with depth, so the base of the dam experiences greater force. Thicker walls provide the necessary strength to withstand this pressure."
Why does heat rise in fluids?,"Heat rises in fluids due to convection. Warmer, less dense fluid rises, while cooler, denser fluid sinks, creating a cycle that transfers heat upward."
Why do metals expand when heated?,"Metals expand when heated because increased molecular motion causes atoms to push against each other, increasing the material’s volume."
How does reducing air pressure affect boiling point?,Reducing air pressure lowers the boiling point because less energy is required for molecules to escape the liquid and enter the vapor phase.
Why does adding salt to water increase its boiling point?,"Salt increases water's boiling point because it disrupts the formation of vapor, requiring more energy to boil the solution compared to pure water."
Why is ice less dense than water?,"Ice is less dense because its molecules form a crystalline structure with open spaces, making it occupy more volume for the same mass compared to liquid water."
How does the color of a surface affect its heat absorption?,"Dark surfaces absorb more heat because they absorb more wavelengths of light, while light-colored or reflective surfaces reflect most of the light and heat."
Why do objects appear smaller underwater?,"Objects appear smaller underwater due to refraction, where light bends as it passes from water to air, causing the objects to look closer and smaller than they actually are."
How does a vacuum flask prevent heat transfer?,A vacuum flask minimizes heat transfer by using a vacuum layer to eliminate conduction and convection and reflective surfaces to reduce radiation.
Why does a current-carrying wire create a magnetic field?,"A current-carrying wire generates a magnetic field because moving charges create a circular magnetic field around the wire, as described by Ampere's law."
How does increasing voltage affect current in a circuit?,"Increasing voltage increases current, as per Ohm’s law, which states that current is directly proportional to voltage, provided resistance remains constant."
Why do parallel circuits allow devices to operate independently?,"In parallel circuits, each device has its own path to the power source. If one path fails, others remain unaffected, allowing devices to operate independently."
Why does a charged balloon stick to a wall?,"A charged balloon induces opposite charges on the wall's surface, creating an attractive force between the balloon and the wall, causing it to stick."
Why is copper used for electrical wiring?,"Copper is used for wiring because it has high electrical conductivity, allowing efficient current flow with minimal resistance and heat generation."
Why does an LED emit light when current flows through it?,An LED emits light when current flows because electrons release energy as photons when they combine with holes in the diode’s semiconductor material.
Why is the Earth’s magnetic field important?,The Earth’s magnetic field protects us from harmful solar radiation by deflecting charged particles from the sun and also helps in navigation through compasses.
How does an increase in resistance affect current in a circuit?,"An increase in resistance decreases current, as per Ohm’s law, which states that current is inversely proportional to resistance for a given voltage."
Why are transformers used in electrical power systems?,Transformers are used to change the voltage of electricity. They step up voltage for efficient long-distance transmission and step it down for safe use in homes and industries.
How does a capacitor store energy?,"A capacitor stores energy in the form of an electric field between its plates, which are separated by a dielectric material."
Why does a compass needle point north?,"A compass needle points north because it aligns with the Earth’s magnetic field, which has a magnetic south pole near the geographic North Pole."
Why does rubbing a balloon on hair create static electricity?,"Rubbing a balloon on hair transfers electrons between the two surfaces, leaving them oppositely charged and creating static electricity."
How do solar panels generate electricity?,"Solar panels generate electricity by converting sunlight into electrical energy using photovoltaic cells, which create a flow of electrons when exposed to light."
Why do gases expand when heated?,"Gases expand when heated because increased temperature gives gas molecules more kinetic energy, causing them to move faster and occupy a larger volume."
Why does a convex lens converge light rays?,"A convex lens converges light rays because its curved shape bends incoming light toward a focal point due to refraction, focusing the rays."
How does a prism split white light into colors?,"A prism splits white light into colors by refraction. Each wavelength of light bends by a different amount, separating the light into its constituent colors (spectrum)."
Why is renewable energy important for the environment?,"Renewable energy reduces dependence on fossil fuels, lowering greenhouse gas emissions and mitigating climate change while providing sustainable energy sources."
How does friction generate heat?,"Friction generates heat by converting kinetic energy into thermal energy when two surfaces rub against each other, causing molecules to vibrate faster."
Why do metals conduct electricity better than non-metals?,"Metals have free electrons that move easily, enabling them to conduct electricity efficiently, whereas non-metals lack such free-moving electrons."
Why does boiling water produce bubbles?,"Boiling water produces bubbles as heat turns water into vapor, forming bubbles that rise to the surface and escape as steam when the water reaches its boiling point."
How does insulation prevent heat loss?,"Insulation prevents heat loss by reducing conduction, convection, and radiation, trapping heat within a space to maintain temperature."
Why does a magnet attract certain materials?,"A magnet attracts materials like iron because their atomic structure allows domains to align with the magnetic field, creating an attraction."
Why is alternating current (AC) used for power distribution?,"Alternating current is used for power distribution because it can be easily transformed to higher or lower voltages, reducing energy loss during long-distance transmission."
Why does ice melt faster on metal than on plastic?,"Ice melts faster on metal because metals are better conductors of heat, transferring heat from the surroundings to the ice more efficiently than plastic."
How does a parachute slow down a skydiver?,"A parachute slows down a skydiver by increasing air resistance, which opposes gravity and reduces the skydiver’s terminal velocity."
Why does sound travel slower in air than in water?,"Sound travels slower in air because air molecules are farther apart, reducing the efficiency of energy transfer, whereas water molecules are closer, facilitating faster sound travel."
Why does a rainbow form after rain?,"A rainbow forms when sunlight refracts, reflects, and disperses inside raindrops, separating light into its spectrum of colors, which arc across the sky."
Why does oil float on water?,Oil floats on water because it is less dense than water. The difference in density causes oil to stay on the surface instead of mixing with the water.
Write down Archimedes’ law.,Archimedes' law states that a body immersed in a fluid experiences an upward buoyant force equal to the weight of the fluid it displaces.
Explain why rotten eggs float on water.,"Rotten eggs float because they contain hydrogen sulfide gas (H₂S) that forms during decomposition. This gas reduces the egg’s density, making it less dense than water."
Determine the density of a sphere with a diameter of 6 cm and a mass of 500 g.,"The density is calculated as mass divided by volume. With a mass of 500 g and a radius of 3 cm, the sphere’s density is approximately 4420.96 kg/m³."
How does density determine whether an object will sink or float?,"If the object’s density is greater than the fluid's density, it will sink. If the object’s density is less, it will float because the buoyant force exceeds the object’s weight."
Why does water exert an upward thrust on submerged objects?,"Water exerts an upward thrust due to the buoyant force, which arises because the pressure at the bottom of a submerged object is greater than the pressure at the top."
What is the relationship between the density of an object and its ability to float?,"Objects with a density lower than the liquid they are in will float, while those with a higher density will sink."
Why does an egg float on saltwater but sink in freshwater?,"Saltwater is denser than freshwater due to dissolved salt. The increased density of saltwater provides a greater buoyant force, allowing the egg to float."
Why do icebergs float on water?,"Icebergs float because ice is less dense than water. The crystalline structure of ice traps air, reducing its density and enabling it to float."
What happens to the buoyant force as an object is submerged deeper in water?,"The buoyant force remains constant as long as the object is fully submerged because it depends only on the volume of displaced water, not the depth."
How does increasing the surface area of a floating object affect its stability?,"Increasing surface area distributes the weight over a larger area, improving stability by lowering the pressure on the fluid and enhancing buoyant force."
Why does a steel ship float even though steel is denser than water?,"A steel ship floats because its hollow structure displaces a large volume of water, creating a buoyant force greater than its weight, despite steel’s high density."
Why do life jackets help people float in water?,"Life jackets are made of buoyant materials that are less dense than water. They increase the overall volume of the wearer, making them float easily."
How does an increase in atmospheric pressure affect a floating object?,"Atmospheric pressure affects both the object and the fluid equally, so the floating object remains unaffected."
Why do small air bubbles rise to the surface in water?,"Air bubbles rise because air is much less dense than water, and the buoyant force acting on the bubble pushes it upwards."
Why do objects feel lighter underwater?,"Objects feel lighter underwater because the buoyant force counteracts part of their weight, reducing the apparent weight experienced."
Why does adding salt to water increase its density?,"Salt increases water's density by adding dissolved ions, which increase the mass per unit volume of the water, making it denser."
How does the density of a liquid affect the buoyant force?,The buoyant force is directly proportional to the density of the liquid. A denser liquid provides a greater buoyant force for the same displaced volume.
Why does oil float on water?,Oil floats on water because it is less dense. The difference in densities causes the oil to remain on the surface instead of mixing with the water.
Why is it easier to lift an object in water than in air?,"Water provides an upward buoyant force that reduces the effective weight of the object, making it easier to lift compared to in air."
How does the shape of an object affect its buoyancy?,"An object with a larger surface area in contact with the fluid experiences greater buoyancy because it displaces more fluid, even if its material is dense."
Why does a liquid exert pressure on the walls of its container?,"A liquid exerts pressure because its molecules move freely and collide with the container walls, creating a force per unit area."
Why does pressure in a liquid increase with depth?,"Pressure increases with depth due to the weight of the liquid above exerting force on the liquid below, creating greater pressure at lower levels."
Why are hydraulic systems used in machines?,"Hydraulic systems use incompressible fluids to transmit force efficiently, allowing smaller input forces to generate larger output forces through pressure multiplication."
Why do pistons in hydraulic systems move when force is applied?,"Pistons move because applying force creates pressure in the fluid, which is transmitted equally in all directions, causing motion according to Pascal’s principle."
How does Pascal’s principle apply to hydraulic systems?,"Pascal’s principle states that pressure applied to a confined fluid is transmitted equally in all directions, enabling force multiplication in hydraulic systems."
Why is the work done by both pistons equal in a hydraulic system?,"Work remains equal because energy is conserved. The smaller piston moves a greater distance, compensating for the larger force exerted by the larger piston."
Why is it important for hydraulic fluids to be incompressible?,"Incompressible fluids ensure efficient force transmission without energy loss, allowing hydraulic systems to work accurately and effectively."
Why does a sphere have the least surface area for a given volume?,"A sphere has the least surface area for a given volume due to its symmetrical shape, which minimizes external surface area while enclosing the maximum volume."
Why is density an important property of materials?,"Density determines how materials interact with their environment, such as whether they float or sink, and influences their strength, stability, and applications."
How does the radius of a sphere affect its volume?,The volume of a sphere is proportional to the cube of its radius. A small increase in radius results in a significant increase in volume.
Why does compressing a gas increase its density?,"Compressing a gas decreases its volume while keeping its mass constant, resulting in a higher mass per unit volume, which increases density."
Why does the density of a substance change with temperature?,"Density decreases with temperature as substances expand when heated, increasing volume while mass remains constant, resulting in lower density."
How does the radius of a sphere affect its volume?,The volume of a sphere is proportional to the cube of its radius. A small increase in radius results in a significant increase in volume.
Why does compressing a gas increase its density?,"Compressing a gas decreases its volume while keeping its mass constant, resulting in a higher mass per unit volume, which increases density."
Why does the density of a substance change with temperature?,"Density decreases with temperature as substances expand when heated, increasing volume while mass remains constant, resulting in lower density."
Why is atmospheric pressure higher at sea level than at higher altitudes?,"Atmospheric pressure is higher at sea level because there is a greater weight of air above exerting force on the surface compared to higher altitudes, where the air column is shorter."
Why does a hot air balloon rise?,"A hot air balloon rises because heating the air inside makes it less dense than the surrounding cooler air, creating buoyant force that lifts the balloon."
Why does a submarine sink when water fills its ballast tanks?,"A submarine sinks when water fills its ballast tanks because the added water increases its overall density, making it greater than the density of the surrounding water."
How does the shape of an airplane wing create lift?,"The shape of an airplane wing, called an airfoil, creates lift because air moves faster over the curved top surface, reducing pressure, while slower-moving air below increases pressure."
Why do sharp objects exert more pressure than blunt objects?,"Sharp objects exert more pressure because the same force is concentrated over a smaller area, increasing the pressure according to the formula P = F/A."
Why do objects feel cooler to touch when they are good conductors?,"Good conductors transfer heat away from your hand quickly, making them feel cooler as they draw heat away more efficiently compared to insulators."
Why do liquids take the shape of their container?,"Liquids take the shape of their container because their molecules can flow and move freely, allowing them to conform to the boundaries of the container."
How does surface tension allow small insects to walk on water?,"Surface tension creates a ""film"" on the water's surface due to cohesive forces between water molecules, which supports the weight of small insects without breaking."
Why does evaporation cause cooling?,"Evaporation causes cooling because the molecules with the highest kinetic energy leave the liquid, lowering the average energy (and temperature) of the remaining liquid."
Why do gases expand to fill their containers?,"Gases expand to fill their containers because their molecules move freely in all directions, spreading out until they occupy the entire available space."
Why do heavier gases diffuse slower than lighter gases?,"Heavier gases diffuse slower because their molecules have more mass, reducing their average speed according to kinetic theory."
Why does boiling point increase with pressure?,"Boiling point increases with pressure because higher pressure makes it harder for molecules to escape the liquid phase, requiring more energy (higher temperature) to boil."
How does a thermos flask prevent heat loss?,"A thermos flask minimizes heat loss through insulation, a vacuum layer to reduce conduction and convection, and reflective surfaces to minimize radiation."
Why does ice float on water?,"Ice floats on water because it is less dense due to its crystalline structure, which occupies more volume than the same mass of liquid water."
Why does sound travel faster in solids than in liquids or gases?,"Sound travels faster in solids because the molecules are closely packed, allowing vibrations to transfer more quickly compared to gases or liquids where molecules are farther apart."
Why do balloons shrink when placed in cold temperatures?,"Balloons shrink in cold temperatures because the gas molecules inside move slower, reducing pressure and volume according to Charles's Law."
Why do your ears pop when you change altitude rapidly?,"Your ears pop due to the difference in air pressure inside and outside your eardrum, which adjusts to equalize pressure as you ascend or descend rapidly."
Why does the pressure of a gas increase when its volume decreases?,"The pressure of a gas increases when its volume decreases because the gas molecules collide with the container walls more frequently, as described by Boyle’s Law."
Why does a glass shatter when heated unevenly?,"Glass shatters when heated unevenly because the uneven expansion creates stress within the material, causing it to break."
Why does water boil at a lower temperature on a mountain?,"Water boils at a lower temperature on a mountain because atmospheric pressure is lower at higher altitudes, reducing the energy needed for water molecules to escape into vapor."
How does a barometer measure atmospheric pressure?,"A barometer measures atmospheric pressure by using a column of liquid, typically mercury, that rises or falls based on the pressure exerted by the air on the liquid surface."
Why does sound not travel in a vacuum?,"Sound does not travel in a vacuum because it requires a medium like air, liquid, or solid to carry vibrations, and a vacuum lacks particles to transmit sound waves."
Why do ice cubes melt faster in hot water than in air?,"Ice cubes melt faster in hot water because water conducts heat more efficiently than air, transferring energy to the ice much more quickly."
Why does a metal spoon feel colder than a wooden spoon at the same temperature?,"A metal spoon feels colder because it is a better conductor of heat, drawing heat away from your hand faster than the wooden spoon, which is an insulator."
Why do we feel cooler when we sweat?,"We feel cooler when we sweat because the evaporation of sweat from the skin absorbs heat, lowering the body’s temperature."
How does condensation form on a cold surface?,"Condensation forms when warm, moist air comes into contact with a cold surface, causing the water vapor to lose energy and change into liquid droplets."
Why do gases have no fixed shape or volume?,"Gases have no fixed shape or volume because their molecules move freely and spread out to fill the container they are in, regardless of its shape or size."
How does increasing the temperature of a gas affect its pressure?,"Increasing the temperature of a gas increases its pressure because the molecules move faster, colliding with the walls of the container more frequently and with greater force."
Why do boats with a flat bottom float better in shallow water?,"Flat-bottomed boats displace a larger volume of water relative to their weight in shallow water, increasing buoyancy and allowing them to float more easily."
Why does the viscosity of a liquid decrease with temperature?,"The viscosity of a liquid decreases with temperature because higher temperatures weaken the intermolecular forces, allowing molecules to flow more freely."
Why do heavier objects fall at the same rate as lighter objects in a vacuum?,"Heavier and lighter objects fall at the same rate in a vacuum because gravity accelerates all objects equally, regardless of their mass, as air resistance is absent."
Why do pressure cookers cook food faster?,"Pressure cookers cook food faster because the high pressure raises the boiling point of water, allowing food to cook at a higher temperature."
Why do bubbles form when boiling water?,"Bubbles form when water boils because the heat converts liquid water into vapor, which accumulates as bubbles that rise to the surface and escape."
Why does heat flow from hot objects to cold objects?,"Heat flows from hot objects to cold objects due to the second law of thermodynamics, which states that energy transfers from regions of higher temperature to lower temperature."
Why does a wet towel feel cooler than a dry towel?,"A wet towel feels cooler because the water in it evaporates, absorbing heat from the skin and the surrounding air, creating a cooling effect."
Why do thermometers contain mercury or alcohol?,"Thermometers use mercury or alcohol because they expand and contract consistently with temperature changes, making them ideal for accurate measurements."
Why do objects expand when heated?,"Objects expand when heated because the increased kinetic energy of their molecules causes them to move apart, increasing the object’s volume."
Why does boiling water produce steam?,"Boiling water produces steam because the heat energy causes water molecules to break free from the liquid’s surface, transitioning into the gas phase."
Why does heat transfer faster in metals than in plastics?,Heat transfers faster in metals because they have free electrons that carry thermal energy more efficiently than the tightly bound molecules in plastics.
Why does a black surface absorb more heat than a white surface?,"A black surface absorbs more heat because it absorbs all wavelengths of light, converting them into heat, while a white surface reflects most light."
Why does a solid expand less than a liquid when heated?,Solids expand less than liquids because their molecules are tightly packed and have limited movement compared to the loosely arranged molecules in liquids.
How does the density of air change with altitude?,"The density of air decreases with altitude because the air pressure is lower at higher elevations, reducing the number of air molecules per unit volume."
Why does light bend when it passes from air to water?,"Light bends when passing from air to water because it slows down due to water’s higher refractive index, causing it to change direction."
How does capillary action allow water to rise in narrow tubes?,"Capillary action occurs because of the adhesive forces between water and the tube's surface, combined with the cohesive forces within the water, pulling it upward."
Why does a helium balloon rise in the air?,"A helium balloon rises because helium is less dense than air, and the buoyant force acting on the balloon exceeds the weight of the helium and the balloon itself."
Why does frost form on cold surfaces?,"Frost forms when water vapor in the air comes into contact with a surface at or below freezing temperature, turning directly into ice through deposition."
Why do colder liquids dissolve gases better than warmer liquids?,"Colder liquids dissolve gases better because lower temperatures reduce the kinetic energy of gas molecules, allowing more to remain dissolved in the liquid."
How does atmospheric pressure affect the boiling point of liquids?,Atmospheric pressure directly affects boiling points; higher pressure increases the boiling point because more energy is required for molecules to escape the liquid phase.
Why does a liquid rise in a straw when you suck on it?,"Sucking on a straw lowers the air pressure inside it, allowing atmospheric pressure outside to push the liquid up into the straw."
Why does a balloon expand when heated?,"A balloon expands when heated because the gas molecules inside move faster and exert greater pressure on the balloon walls, causing it to inflate."
How do refrigerators keep food cool?,"Refrigerators use a coolant that absorbs heat from the inside as it evaporates, then releases the heat outside as it condenses, maintaining a low temperature inside."
Why does your breath feel warm when you blow with an open mouth and cool when you blow with a small opening?,Warm air feels hot because it is straight from your body. Blowing through a small opening cools the air as it expands and mixes with surrounding cooler air.
Why does a piece of metal sink in water but float in mercury?,"Metal sinks in water because it is denser, but floats in mercury because mercury's density is higher than that of most metals."
Why do your hands feel dry when handling alcohol?,"Alcohol evaporates quickly, taking heat away from your skin and leaving your hands dry by removing moisture."
Why does increasing the surface area of a solid increase its dissolution rate in a liquid?,"Increasing the surface area exposes more particles to the solvent, allowing faster interaction and a quicker dissolution rate."
How does a thermos bottle prevent heat loss?,A thermos bottle prevents heat loss by using a vacuum layer to eliminate conduction and convection and reflective surfaces to minimize radiation.
Why does a can of soda fizz when opened?,"A can of soda fizzes when opened because the pressure inside the can is reduced, causing dissolved carbon dioxide to escape as bubbles."
Why do objects expand when heated?,"Objects expand when heated because their particles gain kinetic energy, causing them to move apart and occupy more space."
How does the pressure inside a car tire change with temperature?,"The pressure inside a tire increases with temperature because the gas molecules inside move faster, colliding with the tire walls more frequently and forcefully."
Why does water boil at a lower temperature in high altitudes?,"Water boils at a lower temperature in high altitudes because the atmospheric pressure is lower, requiring less energy for the water molecules to escape into vapor."
Why does food cook faster in a pressure cooker?,"Food cooks faster in a pressure cooker because the high pressure increases the boiling point of water, allowing food to cook at a higher temperature."
Why does ice melt under pressure?,"Ice melts under pressure because the pressure lowers the freezing point, causing the solid ice to transition into liquid water at the contact point."
How do hot air balloons work?,"Hot air balloons work by heating the air inside the balloon, making it less dense than the cooler air outside, creating a buoyant force that lifts the balloon."
Why do gases diffuse faster than liquids?,"Gases diffuse faster than liquids because their particles move more freely and have greater kinetic energy, allowing them to spread quickly."
Why do light rays bend when entering a prism?,"Light rays bend when entering a prism because they slow down as they pass into the denser medium, causing the rays to change direction due to refraction."
Why does oil not mix with water?,"Oil does not mix with water because oil molecules are nonpolar, while water molecules are polar. The lack of attraction prevents them from forming a homogeneous mixture."
Why does adding antifreeze to water lower its freezing point?,"Antifreeze lowers water's freezing point by disrupting the formation of ice crystals, requiring colder temperatures for freezing to occur."
Why does increasing the temperature of a solvent increase the solubility of a solute?,"Increasing the temperature provides solute molecules with more kinetic energy, allowing them to break apart and dissolve more easily in the solvent."
Why does frost form on the outside of a cold drink can?,Frost forms on the outside of a cold drink can because the moisture in the air condenses and freezes when it comes into contact with the cold surface.
Why does steam cause more severe burns than boiling water?,"Steam causes more severe burns than boiling water because it carries additional latent heat, which is released upon condensation."
Why do larger particles settle faster in a liquid than smaller ones?,"Larger particles settle faster because their greater mass overcomes fluid resistance more easily, causing them to sink more quickly than smaller particles."
Why does water flow faster in a narrower pipe?,"Water flows faster in a narrower pipe due to the conservation of mass, which requires the same volume of water to pass through smaller areas more quickly."
How does pressure change as you go deeper underwater?,Pressure increases as you go deeper underwater because the weight of the water above exerts greater force on objects below.
Why does heating a liquid increase its evaporation rate?,Heating a liquid increases its evaporation rate because higher temperatures give molecules enough energy to escape the liquid’s surface.
Why do objects weigh less on the moon than on Earth?,"Objects weigh less on the moon because the gravitational pull of the moon is weaker than that of Earth, reducing the force acting on objects."
Why do objects in space appear weightless?,"Objects in space appear weightless because they are in free fall, constantly accelerating towards Earth or another celestial body while simultaneously orbiting it."
Why does adding salt to water increase its boiling point?,"Adding salt increases water's boiling point because it disrupts the formation of vapor, requiring more energy for water molecules to escape into the gas phase."
Why does glass appear transparent?,"Glass appears transparent because it allows light to pass through with minimal scattering or absorption, as its atoms do not interact strongly with visible light."
How does surface area affect the rate of evaporation?,"A larger surface area increases the rate of evaporation by exposing more molecules to the air, allowing more to escape into the vapor phase."
Why do metals conduct electricity better than non-metals?,"Metals conduct electricity better because they have free-moving electrons that can transfer energy quickly, unlike non-metals, which have tightly bound electrons."
Why does light reflect off shiny surfaces?,Light reflects off shiny surfaces because their smooth texture causes incident light rays to bounce back at predictable angles instead of scattering.
Why do sound waves travel faster in warmer air?,"Sound waves travel faster in warmer air because the higher temperature increases the kinetic energy of air molecules, allowing sound to propagate more quickly."
Why does the color of an object change when it is heated?,"The color of an object changes when heated because it emits light at wavelengths corresponding to its temperature, often shifting towards the red or white spectrum as it gets hotter."
Why does water feel colder than air at the same temperature?,"Water feels colder because it conducts heat away from the skin more effectively than air, which is a poor conductor."
How does a vacuum prevent heat transfer?,"A vacuum prevents heat transfer by eliminating conduction and convection, as there are no particles to carry thermal energy in a vacuum."
Why does increasing the altitude decrease air pressure?,"Air pressure decreases with altitude because the weight of the air above decreases, leading to fewer air molecules pressing down on the surface."
Why do icebergs float despite their massive size?,"Icebergs float because their density is less than that of seawater, allowing them to displace a volume of water equal to their weight."
How does the density of seawater vary with temperature?,"The density of seawater decreases as temperature rises because warmer water expands, reducing the number of molecules in a given volume."
Why do stars twinkle at night?,"Stars twinkle because their light passes through Earth's atmosphere, where turbulence and varying air density cause the light to refract in different directions."
Why do objects on Earth experience atmospheric pressure?,Objects on Earth experience atmospheric pressure because the weight of the air above exerts force on all surfaces it contacts.
Why does rubbing your hands together make them warm?,"Rubbing your hands generates heat due to friction, which converts mechanical energy into thermal energy."
Why does a can of soda feel colder than a plastic bottle at the same temperature?,"A can feels colder because metal conducts heat away from your hand more efficiently than plastic, which is an insulator."
Why do hot objects cool faster in colder environments?,Hot objects cool faster in colder environments because the greater temperature difference increases the rate of heat transfer according to Newton's Law of Cooling.
Why does air pressure inside a tire increase when it is driven?,"Air pressure increases because the friction between the tires and the road generates heat, causing the air molecules inside the tire to move faster and exert more pressure."
How does condensation affect the water cycle?,"Condensation forms clouds by converting water vapor into liquid droplets, playing a key role in precipitation and maintaining the water cycle."
Why do solids retain their shape?,"Solids retain their shape because their molecules are tightly packed and held together by strong intermolecular forces, restricting movement."
Why does food cook faster at higher pressures?,"Higher pressures increase the boiling point of water, allowing food to cook at a higher temperature and therefore faster."
Why does the ocean appear blue?,"The ocean appears blue because water absorbs colors in the red part of the light spectrum and scatters blue light, which is more visible to our eyes."
Why does the sun feel hotter at noon?,"The sun feels hotter at noon because it is directly overhead, allowing sunlight to pass through less of Earth's atmosphere and delivering more intense energy to the surface."
Why does sand heat up faster than water?,"Sand heats up faster because it has a lower specific heat capacity than water, meaning it requires less energy to increase its temperature."
How does increasing the pressure affect the solubility of gases in liquids?,"Increasing pressure forces more gas molecules into the liquid, increasing their solubility as described by Henry's Law."
Why does water freeze at 0°C but not immediately turn to ice?,"Water freezes at 0°C, but the process requires the release of latent heat of fusion, and nucleation sites must form for ice crystals to develop."
Why do helium balloons deflate faster than air-filled balloons?,"Helium balloons deflate faster because helium atoms are smaller and lighter, allowing them to escape more easily through tiny pores in the balloon material."
Why do rainbows form after rain?,"Rainbows form when sunlight refracts, reflects, and disperses in water droplets, splitting the light into its component colors in an arc-shaped spectrum."
How does the salinity of water affect its density?,Higher salinity increases water’s density because the dissolved salts add more mass per unit volume.
Why do mirrors reflect light?,Mirrors reflect light because they have a smooth surface coated with a metallic layer that causes incident light rays to bounce back uniformly.
Why does salt lower the freezing point of water?,"Salt lowers the freezing point of water by disrupting the hydrogen bonding between water molecules, preventing the formation of a solid lattice structure."
Why do wet clothes dry faster on a windy day?,Wet clothes dry faster on a windy day because the wind increases the rate of evaporation by moving humid air away and replacing it with drier air.
Why do tires expand when heated?,"Tires expand when heated because the air molecules inside move faster, increasing pressure and pushing outward on the tire walls."
Why do submarines use ballast tanks to control buoyancy?,"Submarines use ballast tanks to control buoyancy by adjusting the amount of water they hold, making the submarine sink or float based on its density."
Why do planes experience turbulence?,"Planes experience turbulence when they encounter irregular airflows caused by temperature differences, wind patterns, or obstacles like mountains."
Why do high-altitude areas have cooler temperatures?,High-altitude areas have cooler temperatures because the air is less dense and cannot retain as much heat from the sun.
Why does sugar dissolve faster in hot tea than in cold tea?,"Sugar dissolves faster in hot tea because higher temperatures increase the kinetic energy of water molecules, allowing them to break down the sugar more quickly."
Why does a spring stretch when a weight is applied?,"A spring stretches when a weight is applied because the force exerted by the weight causes the spring’s coils to separate, storing elastic potential energy."
Why does rust form on iron?,"Rust forms on iron when it reacts with oxygen and water, creating iron oxide in a process known as oxidation."
Why do hot drinks cool faster in a metallic cup than in a ceramic cup?,"Hot drinks cool faster in a metallic cup because metal is a better conductor of heat, allowing heat to escape more quickly compared to ceramic, which is an insulator."
Why does a car feel hotter inside when parked in the sun?,"A car feels hotter inside when parked in the sun due to the greenhouse effect, where sunlight enters through the windows and is trapped as heat inside the car."
Why do ice cubes stick to your skin?,"Ice cubes stick to your skin because the cold temperature causes water on your skin to freeze, creating a temporary bond between the ice and your skin."
Why do divers need to ascend slowly after a deep dive?,"Divers need to ascend slowly to allow dissolved gases, like nitrogen, in their blood to escape gradually, preventing decompression sickness."
Why do astronauts wear special suits in space?,"Astronauts wear special suits to provide oxygen, regulate temperature, and protect them from the vacuum of space, where there is no air or atmospheric pressure."
Why does a balloon burst when it is overinflated?,"A balloon bursts when overinflated because the internal pressure exceeds the tensile strength of the rubber, causing it to rupture."
Why do objects appear larger underwater?,"Objects appear larger underwater because light rays bend (refract) as they pass from water to air, magnifying the objects."
Why does condensation form on the outside of a glass of cold water?,"Condensation forms because water vapor in the air cools down upon contact with the cold surface, turning into liquid droplets."
Why does the sound of thunder come after lightning?,"The sound of thunder comes after lightning because light travels much faster than sound, so you see the lightning before you hear the thunder."
Why do rivers flow faster downstream?,"Rivers flow faster downstream because gravity accelerates the water as it moves to lower elevations, and the increased volume of water adds momentum."
Why do we see our breath on a cold day?,"We see our breath on a cold day because the water vapor in our breath condenses into tiny droplets when it meets the cold air, forming a visible mist."
Why do ice skaters glide easily on ice?,"Ice skaters glide easily on ice because the pressure of their weight causes a thin layer of ice to melt, creating a slippery surface of water."
Why does light scatter in the atmosphere?,"Light scatters in the atmosphere due to particles and gas molecules that redirect shorter wavelengths, like blue, more effectively than longer wavelengths."
Why does heat rise?,"Heat rises because warmer air is less dense than cooler air, causing it to move upward due to buoyancy."
Why do bridges have expansion joints?,"Bridges have expansion joints to accommodate thermal expansion and contraction caused by temperature changes, preventing structural damage."
Why do we need sunscreen on sunny days?,"We need sunscreen to protect our skin from harmful ultraviolet (UV) radiation, which can cause sunburn and increase the risk of skin cancer."
